id,time_sec,rms_db
C00,26.017,-15.66
C01,85.017,-14.25
C02,251.017,-15.77
C03,577.017,-17.30
C04,627.017,-16.72
C05,664.017,-16.75
C06,892.017,-16.89
C07,1012.020,-16.96
C08,1067.020,-15.97
C09,1125.020,-12.35
C10,1320.020,-17.17
C11,1416.020,-17.11
C12,1581.020,-17.12
C13,1739.020,-17.49
C14,1833.020,-17.87
C15,1860.020,-11.57
C16,1911.020,-13.88
C17,1938.020,-15.80
C18,2042.020,-17.38
C19,2231.020,-10.48
C20,2278.020,-16.67
C21,2345.020,-12.57
C22,2371.020,-14.87
C23,2398.020,-13.82
C24,2516.020,-16.78
C25,2544.020,-15.65
C26,2617.020,-16.40
C27,2653.020,-11.21
C28,2679.020,-15.14
C29,2706.020,-15.43
